"Neighborhood","Latitude","Longitude"
"Capitol Hill","47.6253","-122.3222"
"Downtown","47.605","-122.3344"
"International District","47.5987","-122.3240"
"Madison Valley","47.6233","-122.2964"
"Pioneer Square","47.6015","-122.3343"
"Hawthorne Hills","47.6722","-122.2730"
"Maple Leaf","47.6975","-122.3192"
"Ravenna","47.6759","-122.3009"
"View Ridge","47.6844","-122.2738"
"Ballard","47.6792","-122.3860"
"Crown Hill","47.6961","-122.3718"
"Greenwood","47.6907","-122.3553"
"Magnolia","47.6396","-122.3997"
"Wallingford","47.6614","-122.3421"
"Beacon Hill","47.5526","-122.3009"
"Mount Baker","47.5784","-122.2930"
"South Park","47.5265","-122.3244"
"Fauntleroy","47.524","-122.3830"
"Belltown","47.6147","-122.3448"
"Central District","47.6088","-122.2964"
"Eastlake","47.6418","-122.3265"
"Leschi","47.6003","-122.2928"
"Madrona","47.6139","-122.2887"
"South Lake Union","47.6256","-122.3344"
"Lake City","47.7193","-122.2953"
"Matthews Beach","47.6959","-122.2762"
"Roosevelt","47.6781","-122.3156"
"Wedgwood","47.6901","-122.2905"
"Blue Ridge/North Beach","47.6983","-122.3865"
"Fremont","47.6542","-122.3500"
"Haller Lake","47.7197","-122.3333"
"Phinney Ridge","47.6761","-122.3542"
"Westlake","47.6322","-122.3416"
"Columbia City","47.5608","-122.2870"
"Rainier Beach","47.5123","-122.2640"
"Admiral","47.5812","-122.3866"
"Junction","47.5611","-122.3868"
"Broadmoor","47.6362","-122.2898"
"Denny-Blaine","47.6178","-122.2758"
"First Hill","47.6094","-122.3250"
"Madison Park","47.6346","-122.2796"
"Montlake","47.6416","-122.3050"
"Bryant","47.6706","-122.2871"
"Laurelhurst","47.6602","-122.2810"
"Northgate","47.7086","-122.3232"
"U-District","47.6628","-122.3156"
"Windermere","47.6705","-122.2657"
"Broadview","47.7207","-122.3675"
"Green Lake","47.6798","-122.3258"
"Loyal Heights","47.6822","-122.3851"
"Queen Anne","47.6323","-122.3569"
"Whittier Heights","47.6831","-122.3695"
"Georgetown","47.5475","-122.3215"
"Seward Park","47.5503","-122.2649"
"Alki","47.5755","-122.4107"
