Neighborhood,Zone,Latitude,Longitude
Belltown,Central,47.6147,-122.3448
Broadmoor,Central,47.6362,-122.2898
Capitol Hill,Central,47.6253,-122.3222
Central District,Central,47.6088,-122.2964
Denny-Blaine,Central,47.6178,-122.2758
Downtown,Central,47.605,-122.3344
Eastlake,Central,47.6418,-122.3265
First Hill,Central,47.6094,-122.325
International District,Central,47.5987,-122.324
Leschi,Central,47.6003,-122.2928
Madison Park,Central,47.6346,-122.2796
Madison Valley,Central,47.6233,-122.2964
Madrona,Central,47.6139,-122.2887
Montlake,Central,47.6416,-122.305
Pioneer Square,Central,47.6015,-122.3343
South Lake Union,Central,47.6256,-122.3344
Bryant,North East,47.6706,-122.2871
Hawthorne Hills,North East,47.6722,-122.273
Lake City,North East,47.7193,-122.2953
Laurelhurst,North East,47.6602,-122.281
Maple Leaf,North East,47.6975,-122.3192
Matthews Beach,North East,47.6959,-122.2762
Northgate,North East,47.7086,-122.3232
Ravenna,North East,47.6759,-122.3009
Roosevelt,North East,47.6781,-122.3156
U-District,North East,47.6628,-122.3156
View Ridge,North East,47.6844,-122.2738
Wedgwood,North East,47.6901,-122.2905
Windermere,North East,47.6705,-122.2657
Ballard,North West,47.6792,-122.386
Blue Ridge/North Beach,North West,47.6983,-122.3865
Broadview,North West,47.7207,-122.3675
Crown Hill,North West,47.6961,-122.3718
Fremont,North West,47.6542,-122.35
Green Lake,North West,47.6798,-122.3258
Greenwood,North West,47.6907,-122.3553
Haller Lake,North West,47.7197,-122.3333
Loyal Heights,North West,47.6822,-122.3851
Magnolia,North West,47.6396,-122.3997
Phinney Ridge,North West,47.6761,-122.3542
Queen Anne,North West,47.6323,-122.3569
Wallingford,North West,47.6614,-122.3421
Westlake,North West,47.6322,-122.3416
Whittier Heights,North West,47.6831,-122.3695
Beacon Hill,South,47.5526,-122.3009
Columbia City,South,47.5608,-122.287
Georgetown,South,47.5475,-122.3215
Mount Baker,South,47.5784,-122.293
Rainier Beach,South,47.5123,-122.264
Seward Park,South,47.5503,-122.2649
South Park,South,47.5265,-122.3244
Admiral,West,47.5812,-122.3866
Alki,West,47.5755,-122.4107
Fauntleroy,West,47.523999999999994,-122.383
Junction,West,47.5611,-122.3868
